User_ID,Recommended_Movie,Timestamp
Anonymous,Beautiful Girls (1996),2024-11-10 15:19:49
Anonymous,Something to Talk About (1995),2024-11-10 15:19:49
Anonymous,Nobody's Fool (1994),2024-11-10 15:19:49
Anonymous,I Like It Like That (1994),2024-11-10 15:19:49
Anonymous,Reality Bites (1994),2024-11-10 15:19:49
Anonymous,Son in Law (1993),2024-11-10 15:19:49
Anonymous,Walking and Talking (1996),2024-11-10 15:19:49
Anonymous,Delicatessen (1991),2024-11-10 15:19:49
Anonymous,Trust (1990),2024-11-10 15:19:49
Anonymous,Fools Rush In (1997),2024-11-10 15:19:49
Anonymous,"Haunting, The (1999)",2024-11-10 15:19:52
Anonymous,"Vanishing, The (1993)",2024-11-10 15:19:52
Anonymous,You've Got Mail (1998),2024-11-10 15:19:52
Anonymous,Father of the Bride (1991),2024-11-10 15:19:52
Anonymous,Father of the Bride Part II (1995),2024-11-10 15:19:52
Anonymous,101 Dalmatians (1996),2024-11-10 15:19:52
Anonymous,Silk Stockings (1957),2024-11-10 15:19:52
Anonymous,The Count of Monte Cristo (2002),2024-11-10 15:19:52
Anonymous,Two if by Sea (1996),2024-11-10 15:19:52
Anonymous,French Twist (Gazon maudit) (1995),2024-11-10 15:19:52
Anonymous,Emma (1996),2024-11-10 15:19:56
Anonymous,Sense and Sensibility (1995),2024-11-10 15:19:56
Anonymous,Persuasion (1995),2024-11-10 15:19:56
Anonymous,"Man in the Iron Mask, The (1998)",2024-11-10 15:19:56
Anonymous,Twilight (2008),2024-11-10 15:19:56
Anonymous,Step Brothers (2008),2024-11-10 15:19:56
Anonymous,Benny & Joon (1993),2024-11-10 15:19:56
Anonymous,"I Love You, Man (2009)",2024-11-10 15:19:56
Anonymous,Chain Reaction (1996),2024-11-10 15:19:56
Anonymous,Zombieland (2009),2024-11-10 15:19:56
Anonymous,"Haunting, The (1999)",2024-11-10 15:24:14
Anonymous,"Vanishing, The (1993)",2024-11-10 15:24:14
Anonymous,You've Got Mail (1998),2024-11-10 15:24:14
Anonymous,Father of the Bride (1991),2024-11-10 15:24:14
Anonymous,Father of the Bride Part II (1995),2024-11-10 15:24:14
Anonymous,101 Dalmatians (1996),2024-11-10 15:24:14
Anonymous,Silk Stockings (1957),2024-11-10 15:24:14
Anonymous,The Count of Monte Cristo (2002),2024-11-10 15:24:14
Anonymous,Two if by Sea (1996),2024-11-10 15:24:14
Anonymous,French Twist (Gazon maudit) (1995),2024-11-10 15:24:14
Anonymous,When a Man Loves a Woman (1994),2024-11-10 15:24:21
Anonymous,"Lost Weekend, The (1945)",2024-11-10 15:24:21
Anonymous,Days of Wine and Roses (1962),2024-11-10 15:24:21
Anonymous,"Come Back, Little Sheba (1952)",2024-11-10 15:24:21
Anonymous,When Night Is Falling (1995),2024-11-10 15:24:21
Anonymous,Bed of Roses (1996),2024-11-10 15:24:21
Anonymous,Once Upon a Time... When We Were Colored (1995),2024-11-10 15:24:21
Anonymous,Angels and Insects (1995),2024-11-10 15:24:21
Anonymous,"Bridges of Madison County, The (1995)",2024-11-10 15:24:21
Anonymous,Mad Love (1995),2024-11-10 15:24:21
Anonymous,"Parent Trap, The (1961)",2024-11-10 15:24:28
Anonymous,"Parent Trap, The (1998)",2024-11-10 15:24:28
Anonymous,Big Business (1988),2024-11-10 15:24:28
Anonymous,Twins (1988),2024-11-10 15:24:28
Anonymous,Nell (1994),2024-11-10 15:24:28
Anonymous,"Big Green, The (1995)",2024-11-10 15:24:28
Anonymous,Dunston Checks In (1996),2024-11-10 15:24:28
Anonymous,Heavyweights (Heavy Weights) (1995),2024-11-10 15:24:28
Anonymous,Richie Rich (1994),2024-11-10 15:24:28
Anonymous,"Little Rascals, The (1994)",2024-11-10 15:24:28
